radius_nm,temperature_C,pH,degradation_rate_per_hour,t50_hours,t90_hours,error
400,30,7.4,0.05,21.843687374749496,47.69539078156313,233.68034666527439
250,25,8.0,0.005,20.04008016032064,49.098196392785574,236.20563772836266
100,35,5.5,0.01,8.416833667334668,21.04208416833667,236.57832699467076
300,25,6.5,0.05,21.843687374749496,47.89579158316633,238.4080385219335
450,35,8.0,0.05,21.843687374749496,47.89579158316633,238.4080385219335
100,40,5.5,0.005,7.8156312625250495,21.04208416833667,241.24818775828214
250,37,7.4,0.05,9.619238476953909,20.64128256513026,241.55822667378843
250,35,8.0,0.05,9.619238476953909,20.64128256513026,241.55822667378843
250,25,6.5,0.02,22.0440881763527,47.89579158316633,242.393564684479
150,25,6.5,0.03,9.4188376753507,20.64128256513026,242.55260019036066
